Date,Cured,Death,Confirmed,Total_Confirmed_cases_Indian_National,Total_Confirmed_cases_Foreign_National,Active cases,%Death rate,%Cure rate,%Active rate,Daily_cases
28-07-2020,952743,33425,1483156,1482572.0,584.0,496988,2.2536402104701057,64.23754480310905,33.50881498642085,47703
29-07-2020,988029,34193,1531669,1531067.0,602.0,509447,2.2324013869837414,64.50669171994733,33.260906893068935,48513
30-07-2020,1020582,34968,1583792,1583168.0,624.0,528242,2.207865679331629,64.43914352389709,33.352990796771294,52123
31-07-2020,1057805,35747,1638870,1638227.0,643.0,545318,2.181198020587356,64.54477780421875,33.27402417519389,55078
01-08-2020,1094374,36511,1695988,1695327.0,661.0,565103,2.1527864583947527,64.5272254284818,33.31998811312344,57118
02-08-2020,1145629,37364,1750723,1750039.0,684.0,567730,2.1342039831543884,65.43747925856917,32.42831675827644,54735
03-08-2020,1186203,38135,1803695,1802992.0,703.0,579357,2.1142709826217847,65.76516539658867,32.12056362078955,52972
04-08-2020,1230509,38938,1855745,1854997.0,748.0,586298,2.098240868222735,66.30808650973059,31.59367262204667,52050
05-08-2020,1282215,39795,1908254,1907480.0,774.0,586244,2.085414205865676,67.19309903188989,30.72148676224444,52509
06-08-2020,1328336,40699,1964536,1963742.0,794.0,595501,2.0716851205577296,67.61576270427216,30.312552175170115,56282
07-08-2020,1378105,41585,2027074,2026267.0,807.0,607384,2.051479127057029,67.98493789570583,29.96358297723714,62538
08-08-2020,1427005,42518,2088611,2087782.0,829.0,619088,2.035706984211038,68.32315830951767,29.6411347062713,61537
09-08-2020,1480884,43379,2153010,2152171.0,839.0,628747,2.0148071769290437,68.78203073836164,29.203162084709316,64399
10-08-2020,1535743,44386,2215074,2214180.0,894.0,634945,2.003815673878164,69.3314534864298,28.664730839692037,62064
11-08-2020,1583489,45257,2268675,2267757.0,918.0,639929,1.9948648440168821,69.79796577297321,28.207169383009905,53601
12-08-2020,1639599,46091,2329638,2328701.0,937.0,643948,1.9784618897871686,70.37999036760218,27.641547742610655,60963
13-08-2020,1695982,47033,2396637,2395678.0,959.0,653622,1.9624582279252136,70.76507622973358,27.272465542341205,66999
14-08-2020,1751555,48040,2461190,2460203.0,987.0,661595,1.9519013160300505,71.16699645293536,26.881102231034582,64553
15-08-2020,1808936,49036,2526192,2525183.0,1009.0,668220,1.9411034474022562,71.60722542071228,26.451671131885462,65002
16-08-2020,1862258,49980,2589682,2588649.0,1033.0,677444,1.9299666908910051,71.91068246989398,26.159350839215005,63490
17-08-2020,1919842,50921,2647663,2646612.0,1051.0,676900,1.923243252634493,72.51081425392884,25.565942493436665,57981
18-08-2020,1977779,51797,2702742,2702576.0,166.0,673166,1.9164611346551021,73.176759009924,24.9067798554209,55079
19-08-2020,2037870,52889,2767273,2767087.0,186.0,676514,1.911231743308304,73.64181271598429,24.446955540707403,64531
20-08-2020,2096664,53866,2836925,2836806.0,119.0,686395,1.8987460013923527,73.90621888135922,24.195035117248427,69652
21-08-2020,2158946,54849,2905823,2905682.0,141.0,692028,1.8875547478287562,74.29723007905162,23.81521517311963,68898
22-08-2020,2222577,55794,2975701,2975589.0,112.0,697330,1.8749867678237835,74.69087115943437,23.43414207274185,69878
23-08-2020,2280566,56706,3044940,3044829.0,111.0,707668,1.8623027054720291,74.89691094077388,23.240786353754096,69239
24-08-2020,2338035,57542,3106348,3106156.0,192.0,710771,1.8524003105897986,75.26635779378228,22.88124189562792,61408
25-08-2020,2404585,58390,3167323,3167212.0,111.0,704348,1.8435126445897687,75.91852804402961,22.23795931138062,60975
26-08-2020,2467758,59449,3234474,3234366.0,108.0,707267,1.8379804567914289,76.29549657842357,21.866522964785002,67151
27-08-2020,2523771,60472,3310234,3310119.0,115.0,725991,1.8268194937276339,76.24146812581829,21.931712380454073,75760
28-08-2020,2583948,61529,3387500,3387389.0,111.0,742023,1.8163542435424354,76.27890774907749,21.90473800738007,77266
29-08-2020,2648998,62550,3463972,3463861.0,111.0,752424,1.8057305313091445,76.47284677820721,21.721422690483642,76472
30-08-2020,2713933,63498,3542733,3542616.0,117.0,765302,1.7923450624136787,76.60563186669727,21.602023070889057,78761
31-08-2020,2774801,64469,3621245,3621134.0,111.0,781975,1.7802993169476244,76.62560804364244,21.594092639409926,78512
01-09-2020,2839882,65288,3691166,3691055.0,111.0,785996,1.7687635831062598,76.93726047541617,21.293975941477573,69921
02-09-2020,2901908,66333,3769523,3768219.0,1304.0,801282,1.7597186699749543,76.98342734611249,21.256853983912556,78357
03-09-2020,2970492,67376,3853406,3853290.0,116.0,815538,1.7484791376771613,77.08743900850313,21.16408185381971,83883
04-09-2020,3037151,68472,3936747,3934186.0,2561.0,831124,1.7393040497649455,77.14874743030222,21.111948519932827,83341
05-09-2020,3107223,69561,4023179,4023093.0,86.0,846395,1.7290058433890216,77.23302890574841,21.037965250862563,86432
06-09-2020,3180865,70626,4113811,4113725.0,86.0,862320,1.7168022546490347,77.32161249021893,20.961585255132043,90632
07-09-2020,3250429,71642,4204613,4204526.0,87.0,882542,1.703890465067772,77.3062586259425,20.98985090898972,90802
08-09-2020,3323950,72775,4280422,4280338.0,84.0,883697,1.700182832440353,77.65472656667964,20.645090600880007,75809
09-09-2020,3398844,73890,4370128,4370062.0,66.0,897394,1.6907971574287983,77.77447250972969,20.53473033284151,89706
10-09-2020,3471783,75062,4465863,4465790.0,73.0,919018,1.6807949549728685,77.74047255815954,20.578732486867597,95735
11-09-2020,3542663,76271,4562414,4562336.0,78.0,943480,1.671724661549785,77.64887184722824,20.67940349122197,96551
12-09-2020,3624196,77472,4659984,4659906.0,78.0,958316,1.6624949785235315,77.7727133827069,20.564791638769574,97570
13-09-2020,3702595,78586,4754356,4754314.0,42.0,973175,1.6529262848638178,77.87795024184138,20.469123473294808,94372
14-09-2020,3780107,79722,4846427,4846369.0,58.0,986598,1.6449644243068142,77.99781158366773,20.357223992025467,92071
15-09-2020,3859399,80776,4930236,4930192.0,44.0,990061,1.638379988300763,78.2802080874019,20.081411924297335,83809
16-09-2020,3942360,82066,5020359,5020355.0,4.0,995933,1.634663975225676,78.52745192126699,19.83788410350734,90123
17-09-2020,4025079,83198,5118253,5118217.0,36.0,1009976,1.6255155811953808,78.64165761247051,19.732826806334113,97894
18-09-2020,4112551,84372,5214677,5214601.0,76.0,1017754,1.6179717363127188,78.86492298564227,19.517105278045026,96424
19-09-2020,4208431,85619,5308014,5308005.0,9.0,1013964,1.6130138315385,79.2844743815672,19.102511786894308,93337
20-09-2020,4303043,86752,5400619,5400571.0,48.0,1010824,1.6063343850029044,79.67684815388755,18.71681746110955,92605
21-09-2020,4396399,87882,5487580,5487580.0,0.0,1003299,1.6014709580543702,80.11544250835523,18.2830865335904,86961
22-09-2020,4497867,88935,5562663,5562644.0,19.0,975861,1.5987846108958963,80.85816092040808,17.543054468696017,75083
23-09-2020,4587613,90020,5646010,5646001.0,9.0,968377,1.5944002933044752,81.25407145931375,17.15152824738178,83347
24-09-2020,4674987,91149,5732518,5732517.0,1.0,966382,1.5900342571972734,81.55206839298194,16.857897349820796,86508
25-09-2020,4756164,92290,5818570,5818552.0,18.0,970116,1.5861285504857725,81.74111508497792,16.672756364536305,86052
26-09-2020,4849584,93379,5903932,5903921.0,11.0,960969,1.5816408454568922,82.1415964818023,16.276762672740812,85362
27-09-2020,4941627,94503,5992532,5992532.0,0.0,956402,1.5770128553339389,82.46308905818108,15.959898086484978,88600
28-09-2020,5016520,95542,6074702,6074702.0,0.0,962640,1.5727849695343081,82.5805117683139,15.84670326215179,82170
29-09-2020,5101397,96318,6145291,6145285.0,6.0,947576,1.56734644461914,83.01310710916701,15.419546446213857,70589
30-09-2020,5187825,97497,6225763,6225763.0,0.0,940441,1.5660249193552662,83.32834063872974,15.105634441914992,80472
01-10-2020,5273201,98678,6312584,6312584.0,0.0,940705,1.563195040256098,83.5347458346693,14.902059125074613,86821
02-10-2020,5352078,99773,6394068,6394067.0,1.0,942217,1.5603994202126095,83.70380171121109,14.73579886857631,81484
03-10-2020,5427706,100842,6473544,6473544.0,0.0,944996,1.5577556899281135,83.8444289557621,14.597815354309787,79476
04-10-2020,5509966,101782,6549373,6549373.0,0.0,937625,1.5540724280018867,84.12967164948462,14.316255922513498,75829
05-10-2020,5586703,102685,6623815,6623815.0,0.0,934427,1.5502395522821817,84.34267865270996,14.107081795007861,74442
06-10-2020,5662490,103569,6685082,6685082.0,0.0,919023,1.5492554915556758,84.70337387035791,13.747370638086414,61267
07-10-2020,5744693,104555,6757131,6757131.0,0.0,907883,1.547328296580309,85.01674749238988,13.435924211029798,72049
08-10-2020,5827704,105526,6835655,6835655.0,0.0,902425,1.5437584254910466,85.25450743198714,13.20173414252182,78524
09-10-2020,5906069,106490,6906151,6906150.0,1.0,893592,1.5419587553182663,85.51896707731991,12.93907416736182,70496
10-10-2020,5988822,107416,6979423,6979414.0,9.0,883185,1.5390383990195178,85.80683532148717,12.654126279493305,73272
